"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cg58m308glro","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/43bd/live/2e78da30-6453-11ef-b43e-6916dcba5cbf.jpg.webp","Top-level meeting shows China - and Xi - still a priority for Biden","Jake Sullivan is on his first visit to China as national security adviser, for talks with Foreign Minister Wang Yi.","World"
"https://www.bbc.com/news/articles/cg4ypkpx1rqo","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/de41/live/dd096640-6922-11ef-8c32-f3c2bc7494c6.jpg.webp","India’s Bangladesh dilemma: What to do about Sheikh Hasina?","Former Bangladesh PM Sheikh Hasina's continued presence in India means new diplomatic challenges for Delhi.","Asia"
"https://www.bbc.com/news/articles/c05jvve89g3o","31 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/01d2/live/aeaf1790-675b-11ef-b970-9f202720b57a.png.webp","Far right eyes political earthquake as Germans head to the polls","The far-right Alternative for Germany is set to do very well in state elections in the east.","Europe"
"https://www.bbc.com/news/articles/cy4ydd2x5x2o","21 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9228/live/1a1b1930-5fa9-11ef-8e9a-474aa3414f6f.jpg.webp","Nigerians outraged by president’s new plane","Nigerians say the timing is wrong considering the country is facing its worst economic crisis in decades.","Africa"
"https://www.bbc.com/news/articles/cg79ym5mrzyo","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7723/live/0497b8e0-6600-11ef-b43e-6916dcba5cbf.jpg.webp","Outdoor smoking ban at pubs being considered - PM","Health experts welcome plans but some pub owners and hospitality bosses warn of economic pain.","Health"
"https://www.bbc.com/news/articles/c3d90gz011no","27 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/fa66/live/51612780-6469-11ef-8c84-471a963ecfb5.jpg.webp","Migration to Ireland at highest level since 2007","Most growth, 79,300 people, was net migration, with the rest due to 19,400 more births than deaths.","Europe"
"https://www.bbc.com/news/articles/cql3gy63rp3o","29 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8255/live/bfac5d70-663c-11ef-a881-492a52bb19d5.jpg.webp","Hospitality and health leaders clash on outdoor smoking plan","The prime minister says his government is looking at tougher rules to reduce the burden on the NHS.","Politics"
"https://www.bbc.com/news/articles/c77l612r254o","24 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/165b/live/1119c4f0-6001-11ef-b43e-6916dcba5cbf.jpg.webp","South Africa opposition in turmoil as Malema's deputy jumps ship","South Africa's radical opposition politician Julius Malema suffers a big blow as his deputy ditches him.","Africa"
"https://www.bbc.com/news/articles/c0l876r62reo","25 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ba10/live/ce0bc9c0-6266-11ef-b970-9f202720b57a.png.webp","PM speech to warn that 'things will only get worse'","Several stories dominate Sunday's headlines including details of Sir Keir Starmer's forthcoming speech and a new picture of Hannah Lynch","The Papers"
"https://www.bbc.com/culture/article/20240827-why-oasis-defined-the-spirit-of-90s-britain","27 Aug 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jlwn8r.jpg.webp","Why Oasis defined the spirit of the 90s","Thirty years after the release of their captivating debut album, Oasis have announced they are reuniting – news that has delighted middle-aged fans and a whole new generation alike.","Culture"
"https://www.bbc.com/articles/cz55mjj4rlgo","24 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/495a/live/be091d70-6149-11ef-b970-9f202720b57a.jpg.webp","Youngsters not in work or education rise to 870,000","BBC News has spoken to two young people about the obstacles they are facing.","Family & Education"
"https://www.bbc.com/news/articles/c623levznxjo","25 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6949/live/bf0fed00-6173-11ef-b970-9f202720b57a.jpg.webp","Famine hits Sudan as peace talks fall short yet again","Aid begins to trickle in but it is far too little, too late, says analyst Alex de Waal.","Africa"
"https://www.bbc.com/news/articles/c4gze361j7xo","21 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0d82/live/55570020-5f42-11ef-bf1b-c30567a92f99.jpg.webp","Abortion clinic payout woman shocked at prayer arrest","West Midlands Police paid Isabel Vaughan-Spruce £13,000 but did not admit liability.","England"
"https://www.bbc.com/future/article/20240820-why-category-1-hurricane-ernesto-is-still-dangerous","21 Aug 2024","https://ichef.bbci.co.uk/images/ic/480x270/p0jklwr1.jpg.webp","The deceptive power of a category 1 hurricane","Don't be lured into a false sense of security by a category one hurricane – storm surge and flooding mean they can be as dangerous as a category five.","Future"
"https://www.bbc.com/news/articles/c86lgnnw4y3o","21 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b8b5/live/07000d10-5eff-11ef-b970-9f202720b57a.jpg.webp","Panicked African workers prevented from leaving Lebanon","Thousands of Africans employed as domestic workers are fearing what could happen if war breaks out.","World"
"https://www.bbc.com/news/articles/c785n2n9334o","20 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f7aa/live/c84146c0-5efe-11ef-8c32-f3c2bc7494c6.jpg.webp","Six Kamala Harris claims fact-checked","BBC Verify examined claims made by Harris, about her record and Trump's on the economy, abortion and immigration.","BBC Verify"
"https://www.bbc.com/news/articles/cj08mn24jplo","20 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4ff9/live/44f73670-5f27-11ef-8c32-f3c2bc7494c6.png.webp","Key moments when Harris and Obama's political paths crossed","Two decades after they first met, he will use his convention speech to try to propel her to the White House.","US & Canada"
"https://www.bbc.com/news/articles/cy0nklzgdr0o","19 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4303/live/8471f460-5ca3-11ef-b190-15342701cc9e.jpg.webp","Women's charity raises awareness of period poverty","""With the cost of living crisis, menstrual products are getting unaffordable,"" a charity says.","Peterborough"
