"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/sport/articles/cgrjkgked5eo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2c68/live/3df151f0-6b91-11ef-bfd9-5f2d264bba80.jpg.webp","Rogers' 'unbelievable' journey from car crash to gold","Faye Rogers reflects on her battle from a car accident three years ago to a Paralympic gold medal in the women's 100m S10 butterfly in Paris.","Disability Sport"
"https://www.bbc.com/sport/cycling/articles/cj4xgyze8pyo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a586/live/14e65310-6ad2-11ef-a329-01e5398e96e2.jpg.webp","Storey wins 18th Paralympic gold on 'appalling' course","Sarah Storey beat French hope Heidi Gaugain in the road cycling time trial to win her 18th Paralympic gold, as GB picked up four medals at Clichy-sous-Bois on Wednesday","Disability Sport"
"https://www.bbc.com/sport/athletics/articles/cpqj8d7zpy0o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/13ed/live/75b55eb0-6bc3-11ef-b43e-6916dcba5cbf.jpg.webp","GB's Pembroke wins javelin gold with new world record","Great Britain's Daniel Pembroke retains his Paralympic title by setting a new world record in the men's F13 javelin at Stade de France.","Disability Sport"
"https://www.bbc.com/sport/athletics/articles/cpqj8d7zpy0o","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/13ed/live/75b55eb0-6bc3-11ef-b43e-6916dcba5cbf.jpg.webp","GB's Pembroke wins javelin gold with new world record","Great Britain's Daniel Pembroke retains his Paralympic title by setting a new world record in the men's F13 javelin at Stade de France.","Disability Sport"
"https://www.bbc.com/sport/videos/c1ep23v87yyo","2 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4c72/live/22a38130-6947-11ef-b43e-6916dcba5cbf.jpg.webp","'After Tokyo, Paris gold feels so good' - Fortune","","Disability Sport"
"https://www.bbc.com/news/articles/c4glvg22mgro","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ebf4/live/85c83a10-69df-11ef-b970-9f202720b57a.jpg.webp","Paralympic rower winds down after gold medal win","Giedre Rakauskaite says she will be staying in Paris to support Great Britain from the crowds.","Hereford & Worcester"
"https://www.bbc.com/sport/golf/videos/c9dy1vg91wwo","15 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/053a/live/90b979e0-72bb-11ef-b282-4535eb84fe4b.jpg.webp","'Stone-cold top' approach leads to incredible eagle","Solheim Cup: Nelly Korda and Allisen Korpuz's incredible eagle","Golf"
"https://www.bbc.com/sport/articles/cjdk47rm44xo","6 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/d373/live/af573440-6c86-11ef-b169-a5a38341b787.jpg.webp","Coutya wins second Paris gold as GB beat Tokyo tally","Dimitri Coutya wins his second Paralympic gold medal in Paris with victory in the men's individual epee B final, as GB surpass their gold tally from the Tokyo Games.","Disability Sport"
"https://www.bbc.com/sport/articles/c2l1w7y4dk1o","31 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/12e1/live/8cd26d70-67bf-11ef-b38b-fded5622f26f.jpg.webp","Clegg overwhelmed by 'sensational' gold & world record","In the immediate aftermath of winning Paralympic gold, in a world record time, the enormity of it all simply engulfed Stephen Clegg.","Disability Sport"
"https://www.bbc.com/sport/videos/c74j7kwkvxgo","30 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/edcc/live/7ab8d1f0-66f8-11ef-b43e-6916dcba5cbf.jpg.webp","GB's Kearney wins second swimming gold","Watch as Great Britain's Tully Kearney wins gold in the S5 100m freestyle title, her second of the Paralympic Games in Paris.","Disability Sport"
