"sc-2e6baa30-0 href","sc-4e537b1-1","sc-a34861b-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cwyl79v1d1lo","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/d4a8/live/65ad3f20-7b44-11ef-b791-bfe2c55bf44d.jpg.webp","Petrol prices fall to lowest for three years","Lower global oil prices and a stronger pound were the main reasons prices had fallen, the RAC says.","Business"
"https://www.bbc.com/news/articles/clyne60ln20o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/927c/live/35fc83f0-6ba2-11ef-811b-09c4913a8684.jpg.webp","Why this US jobs report matters and what to watch","The report is a key gauge of the US economy - a top issue in the presidential election.","US & Canada"
"https://www.bbc.com/news/articles/cy4d8ygw19wo","8 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3e44/live/804f9770-7a8a-11ef-b282-4535eb84fe4b.jpg.webp","Evening and Sunday parking charges plan scrapped","Proposals for new tariffs in car parks in Stamford and Grantham have been withdrawn.","Lincolnshire"
"https://www.bbc.com/news/articles/c5y50z5l1r2o","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0d7c/live/14bd7610-79bf-11ef-8e24-adf203a52006.jpg.webp","Chancellor makes switch from pain to gain","Rachel Reeves abandoned the government's recent gloomy tone and focused on the future ""prize"".","Business"
"https://www.bbc.com/news/articles/c7819kmz98vo","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9584/live/380ec9c0-79a6-11ef-a6e4-cd6b866d742c.jpg.webp","Nurses in England say 5.5% pay rise not enough","Nurses are determined to “stand up for themselves”, the head of the Royal College of Nursing says.","Health"
"https://www.bbc.com/news/articles/c9v8wk9z8y8o","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0d57/live/af7e2320-6f79-11ef-86fb-019546284d89.jpg.webp","Tories' legacy is disaster for councils - Ed Davey","The Lib Dem leader says councils across the country are having to make ""very difficult decisions"".","Sussex"
"https://www.bbc.com/news/articles/c3rdgxp4ld0o","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/adeb/live/63e33aa0-6f69-11ef-bb19-a14a36c9c495.jpg.webp","Keir Starmer warns unions of tough decisions over pay","In a speech to the TUC, the PM says the government will ""not risk its mandate for economic stability"".","Politics"
"https://www.bbc.com/news/articles/cqjrz87xd0yo","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/822b/live/90dc9080-0e19-11ef-82e8-cd354766a224.png.webp","Starmer 'in control' and 'Al Fayed rape scandal'","",""
"https://www.bbc.com/news/articles/c77x16g61ygo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/3e01/live/905342a0-7bfe-11ef-ad1c-8daceb2ac32f.jpg.webp","Huge obesity rates among borough's primary pupils","A council report blames inequality and deprivation for the rise in obesity rates.","Liverpool"
"https://www.bbc.com/news/articles/c8djelgl6y8o","2 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/881c/live/1f29f0d0-7efe-11ef-ac16-111450e0f0f6.png.webp","UK economy grew less than thought in spring","The downward revision in growth between April and June comes ahead of next month's Budget.","Business"
"https://www.bbc.com/news/articles/clylr0zx0jzo","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/781f/live/31e1d760-799f-11ef-b8b0-6b29f23fbe73.jpg.webp","Nigeria's ruling party wins first test since Tinubu elected","The election was seen as a test of the APC’s popularity given Nigeria’s economic troubles.","Africa"
"https://www.bbc.com/news/articles/cje30vq7yypo","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0359/live/045e69b0-7504-11ef-8c1a-df523ba43a9a.png.webp","What will happen when VAT is added to private school fees?","The Labour government's changes will come into effect in January 2025","BBC InDepth"
"https://www.bbc.com/news/articles/c3rlwdpge1ro","23 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/01ea/live/cdf00a70-7759-11ef-9b1a-47239d33de5b.jpg.webp","Council reviews spending on major ring road scheme","A 4.6-mile section of the A1237 will be turned into a dual carriageway as part of the York scheme.","North Yorkshire"
"https://www.bbc.com/news/articles/cewlqxv0n1qo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/854e/live/f6de5520-6a18-11ef-8aac-dd660c1eaaee.jpg.webp","State pension to rise by over £400 next year","This will take the full state pension for men who have retired since 1951 and women since 1953 to around £12,000 in 2025/26.","Business"
"https://www.bbc.com/news/articles/c20m7dn3y3do","17 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/ca77/live/053cef60-74ef-11ef-8c1a-df523ba43a9a.jpg.webp","New blow for Canada's Trudeau after his party loses long-held seat","The defeat in Montreal is likely to put more pressure on Prime Minister Justin Trudeau to step aside.","US & Canada"
"https://www.bbc.com/news/articles/cvg3g8wpwwqo","16 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/025f/live/554acf00-7426-11ef-b02d-c5f3b724a1ea.jpg.webp","'I got a £44,000 student loan - now I owe £54,000’","The new repayment rate for student loans started this month but for some graduates the debt pile keeps growing.","Business"
"https://www.bbc.com/news/articles/c8xl5vnlzpwo","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c911/live/561b3350-692e-11ef-8c32-f3c2bc7494c6.jpg.webp","Is US economy better or worse now than under Trump?","BBC Verify looks at jobs, inflation, stocks and other indicators to compare the Trump and Biden economies.","US & Canada"
"https://www.bbc.com/news/articles/c9852q38ljdo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c62b/live/f6b56290-6ad7-11ef-b970-9f202720b57a.jpg.webp","Starmer defends cutting winter fuel payments","During PMQs, Sir Keir Starmer says he had to take ""tough decisions to stabilise the economy"".","Politics"
"https://www.bbc.com/news/articles/c981j68ng3lo","4 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/abb3/live/97d45d90-7d69-11ef-b669-454bdea1a254.png.webp","City tram strikes end after eleventh-hour pay deal","Nottingham's Goose Fair can now go ahead without travel disruption after an agreement was reached.","Nottingham"
"https://www.bbc.com/news/articles/cj35kk42k5vo","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7b7c/live/24e98950-7089-11ef-b34b-d51c0d1b0fff.jpg.webp","Ohio leaders dismiss claims of migrants eating pets","Governor Mike DeWine defended Haitians in the town of Springfield as people who ""work very, very hard"".","US & Canada"
"https://www.bbc.com/news/articles/ce808nyry3do","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/4e3a/live/a12e30a0-7161-11ef-9516-9bafea49f39b.jpg.webp","Winter fuel cut impact was not assessed, says Starmer","Sir Keir Starmer says it was not legally necessary to carry out analysis on changes to the payment.","Politics"
"https://www.bbc.com/news/articles/c4gegy4r9ndo","14 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/7065/live/72a5a0a0-71f8-11ef-8c1a-df523ba43a9a.jpg.webp","'Our winter fuel payment goes into the holiday kitty'","Some pensioners say they don't need the extra cash of up to £300 - and want better means testing.","Business"
"https://www.bbc.com/news/articles/c39k9882nero","15 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8798/live/46a3e1a0-71d6-11ef-b908-d973c67fbe17.jpg.webp","How will the Irish government spend Apple’s €14bn?","Apple has been ordered to pay Ireland €14bn in unpaid taxes by Europe's top court.","Europe"
"https://www.bbc.com/news/articles/cvglllj28xpo","15 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/f164/live/5f8302c0-7364-11ef-b2ed-b9a56808f925.jpg.webp","Country first, party second, pledges Eluned Morgan","First minister will ""undoubtedly fall out"" with UK government as she tries to realise Welsh plans.","Wales"
"https://www.bbc.com/news/articles/c20jx91xe2do","6 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/7935/live/edafde20-7bce-11ef-b02d-c5f3b724a1ea.jpg.webp","Starmer's willingness to be unpopular comes with risks","Even a colossal majority may offer little shield from the wrath of the disappointed, if delivery is deemed to fall short.","Politics"
"https://www.bbc.com/news/articles/cly3qnrpvg9o","7 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/d32f/live/d8686dd0-7ab0-11ef-aa23-ff25bf1fd4c4.jpg.webp","Trump vows to 'take other countries' jobs' in economic speech","Trump pledged that companies who manufactured in the US would receive benefits, while those who did business elsewhere would face steep costs","US & Canada"
"https://www.bbc.com/news/articles/c1e8755xv01o","19 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/0ff2/live/edadf720-75e0-11ef-a846-83b5370dc374.jpg.webp","Many pharmacists to vote on cuts to opening hours","Half of community pharmacies will be balloted on ""working to rule"" in protest over budget cuts and workload.","Health"
"https://www.bbc.com/news/articles/c4gqyjknwq8o","5 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a730/live/641fe820-6acc-11ef-a329-01e5398e96e2.jpg.webp","More cash needed for 20,000 homes plan - watchdog","Auditors say significantly more money is needed to reach a pledge to build more social housing.","Wales"
"https://www.bbc.com/news/articles/cpdqvwexqv4o","18 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/a0a4/live/dfd7ca40-75e0-11ef-821a-7153aac218d3.jpg.webp","Boeing suspends jobs for thousands after strike","Boeing says it is suspending jobs for thousands of staff in the US due to a worker strike.","Business"
"https://www.bbc.com/news/articles/c1jdry9jp93o","20 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/b2f1/live/7495f720-7757-11ef-9fba-0d1fbbe85523.jpg.webp","'Amazing dad' died when earache turned into meningitis","Cricket player and coach Josh Vickery became unwell with an ear infection, which “just lingered"".","Somerset"
"https://www.bbc.com/news/articles/crlrljjz884o","12 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/2233/live/fadab810-7113-11ef-8c1a-df523ba43a9a.jpg.webp","Why Starmer’s NHS reforms may give you a sense of deja-vu","The PM is promising major change, but this is not the first time such ideas have been tried","Health"
"https://www.bbc.com/news/articles/c04903zr2neo","10 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/8b9e/live/5e84c0d0-6f2b-11ef-b02d-c5f3b724a1ea.jpg.webp","Rachel Reeves urges Labour MPs to back winter fuel cut","Some Labour MPs are uneasy over the move to scrap winter fuel payments for millions of pensioners.","Politics"
"https://www.bbc.com/news/articles/cx2g28w70zro","13 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/fe73/live/8e1a61b0-71ce-11ef-9a04-c909ef26ae00.jpg.webp","Airport tax proposed to improve assisted travel","Plans for a 70p charge will be on top of current tariffs and is likely to be passed on to customers.","Guernsey"
