date,sentiment_score
2021-10-16,-0.4588
2021-10-29,0.5859
2021-11-15,0.0
2021-12-04,0.0
2021-12-07,0.267
2021-12-08,-0.8847
2021-12-14,-0.4019
2021-12-16,0.0
2021-12-18,0.0
2021-12-22,0.3818
2022-01-03,-0.5106
2022-01-05,0.6369
2022-01-15,0.0
2022-01-19,-0.4404
2022-01-24,-0.3818
2022-01-25,-0.21075
2022-01-29,-0.0258
2022-02-03,0.0
2022-02-04,-0.38075000000000003
2022-02-05,-0.4019
2022-02-08,0.34
2022-02-10,0.1909
2022-02-11,-0.2732
2022-02-12,-0.6249
2022-02-14,0.128
2022-02-15,0.4268
2022-02-16,-0.1531
2022-02-18,-0.4588
2022-02-20,-0.2202
2022-02-22,-0.5994
2022-02-24,-0.07395000000000002
2022-02-25,-0.27046000000000003
2022-02-26,-0.5106
2022-02-28,0.2198
2022-03-01,-0.38876666666666665
2022-03-02,0.0
2022-03-03,-0.281525
2022-03-04,0.2023
2022-03-05,-0.34
2022-03-07,-0.4588
2022-03-08,-0.416
2022-03-09,0.3314
2022-03-14,-0.2997
2022-03-18,-0.38730000000000003
2022-03-27,-0.5423
2022-03-28,-0.3182
2022-04-04,0.22730000000000003
2022-04-05,-0.10505714285714285
2022-04-06,-0.29785
2022-04-07,-0.04625999999999999
2022-04-08,-0.12426666666666668
2022-04-09,0.1468
2022-04-11,0.05946666666666667
2022-04-12,0.08814999999999999
2022-04-13,0.08613999999999997
2022-04-14,0.029925000000000007
2022-04-16,0.10805000000000003
2022-04-17,-0.08795
2022-04-18,-0.1167
2022-04-19,-0.22593333333333332
2022-04-20,-0.099675
2022-04-21,0.28334000000000004
2022-04-22,-0.10765555555555555
2022-04-23,-0.38345
2022-04-24,-0.6351
2022-04-25,-0.06473333333333332
2022-04-26,-0.032075000000000006
2022-04-27,-0.25644999999999996
2022-04-28,0.057060000000000013
2022-04-29,-0.22362
2022-04-30,0.12523333333333334
2022-05-02,-0.18077142857142858
2022-05-03,0.18813333333333335
2022-05-04,0.32137499999999997
2022-05-05,-0.11178571428571428
2022-05-06,-0.54025
2022-05-07,0.03423333333333333
2022-05-08,0.1909
2022-05-09,-0.21619999999999998
2022-05-10,-0.24176666666666669
2022-05-11,0.006479999999999997
2022-05-12,-0.2180125
2022-05-13,-0.14210000000000003
2022-05-14,0.025066666666666643
2022-05-15,-0.4019
2022-05-16,0.059
2022-05-17,0.15456666666666669
2022-05-18,-0.06138000000000001
2022-05-19,-0.04865
2022-05-20,-0.2466
2022-05-21,0.2263
2022-05-23,0.5471666666666667
2022-05-24,0.17302
2022-05-25,-0.20905714285714286
2022-05-26,0.1947
2022-05-27,0.18081999999999998
2022-05-28,-0.55225
2022-05-29,-0.1027
2022-05-30,0.25
2022-05-31,0.020437500000000004
2022-06-01,0.3316333333333333
2022-06-02,0.21230000000000002
2022-06-03,-0.21703333333333333
2022-06-04,0.2173
2022-06-06,-0.04724999999999999
2022-06-07,0.14711666666666667
2022-06-08,0.43394000000000005
2022-06-09,0.15820000000000004
2022-06-10,-0.030242857142857144
2022-06-11,0.3612
2022-06-12,0.28785
2022-06-13,-0.35774
2022-06-14,-0.14758
2022-06-15,0.28013333333333335
2022-06-16,-0.19554
2022-06-17,-0.3071
2022-06-18,-0.353175
2022-06-19,0.29295
2022-06-20,-0.1806
2022-06-21,-0.22118333333333332
2022-06-22,-0.19412000000000001
2022-06-24,-0.3548
2022-06-25,0.3612
2022-06-26,-0.507525
2022-06-27,-0.3479111111111111
2022-06-28,-0.369425
2022-06-29,-0.05432500000000001
2022-06-30,-0.379525
2022-07-01,-0.11981666666666667
2022-07-02,-0.389
2022-07-03,0.49866666666666665
2022-07-04,0.3612
2022-07-05,-0.09925714285714285
2022-07-06,0.13133333333333333
2022-07-07,0.0011000000000000057
2022-07-08,0.4222333333333333
2022-07-09,-0.098
2022-07-11,-0.0008833333333333101
2022-07-12,-0.45132500000000003
2022-07-13,-0.186
2022-07-14,-0.23555
2022-07-15,0.3984666666666667
2022-07-16,0.19469999999999998
2022-07-18,0.11455
2022-07-19,-0.15064999999999995
2022-07-20,0.1542166666666667
2022-07-21,0.08366666666666667
2022-07-22,0.26426
2022-07-23,0.06055000000000002
2022-07-25,0.032659999999999995
2022-07-26,-0.21707142857142858
2022-07-27,-0.08713333333333333
2022-07-28,0.2262
2022-07-29,0.28914
2022-07-30,-0.41169999999999995
2022-07-31,0.149775
2022-08-01,0.6486
2022-08-02,-0.207625
2022-08-03,0.16934285714285716
2022-08-04,-0.01856249999999999
2022-08-05,0.11277500000000001
2022-08-06,-0.07243999999999999
2022-08-07,0.008
2022-08-08,0.09122
2022-08-09,0.0258
2022-08-10,0.1658375
2022-08-11,-0.0685625
2022-08-12,0.1153
2022-08-13,0.16063333333333332
2022-08-14,0.4118
2022-08-15,0.001800000000000008
2022-08-16,-0.021919999999999995
2022-08-17,-0.28459999999999996
2022-08-18,0.008433333333333312
2022-08-19,0.0877
2022-08-22,0.08946666666666665
2022-08-23,-0.18513333333333337
2022-08-24,0.15164
2022-08-25,0.15030000000000002
2022-08-26,0.23513333333333333
2022-08-27,-0.5195
2022-08-29,-0.30204
2022-08-30,-0.07195
2022-08-31,-0.08503333333333334
2022-09-01,-0.24408333333333332
2022-09-02,-0.068825
2022-09-03,-0.22693333333333332
2022-09-04,-0.7783
2022-09-05,0.0
2022-09-06,0.3991
2022-09-07,0.13602
2022-09-08,0.18273333333333333
2022-09-09,0.346
2022-09-10,0.3327
2022-09-12,0.009366666666666653
2022-09-13,0.21125
2022-09-14,0.12099999999999998
2022-09-15,-0.06453333333333333
2022-09-16,-0.1152857142857143
2022-09-17,0.1591
2022-09-18,-0.296
2022-09-19,0.007957142857142854
2022-09-20,-0.296
2022-09-21,-0.0258125
2022-09-22,-0.22996666666666665
2022-09-23,-0.2763857142857143
2022-09-24,-0.2263
2022-09-26,-0.21833333333333335
2022-09-27,-0.21233333333333337
2022-09-28,0.0
2022-09-29,0.2259
2022-09-30,0.13759999999999997
2022-10-01,0.4404
2022-10-02,0.0
2022-10-03,0.31517142857142855
2022-10-04,0.3479
2022-10-05,0.10694999999999999
2022-10-06,0.06494
2022-10-07,0.25572
2022-10-08,0.10823333333333333
2022-10-10,-0.17099999999999999
2022-10-11,-0.40853333333333336
2022-10-12,0.10626666666666666
2022-10-13,0.08872857142857142
2022-10-14,-0.29009999999999997
2022-10-15,0.2023
2022-10-17,-0.32285
2022-10-18,0.1826
2022-10-19,0.2400125
2022-10-20,-0.24332857142857142
2022-10-21,0.015839999999999986
2022-10-22,-0.31725000000000003
2022-10-23,-0.5267
2022-10-24,-0.2992
2022-10-25,0.08315
2022-10-26,0.20042500000000002
2022-10-27,-0.23600000000000004
2022-10-28,-0.296
2022-10-29,0.08895
2022-10-31,-0.1901
2022-11-01,0.11869999999999999
2022-11-02,0.07274
2022-11-03,-0.09713333333333334
2022-11-04,0.49285
2022-11-05,-0.07631999999999999
2022-11-07,0.23775000000000002
2022-11-08,0.03322857142857143
2022-11-09,0.012016666666666667
2022-11-10,-0.027200000000000002
2022-11-11,0.12212
2022-11-12,0.08953333333333335
2022-11-14,0.0
2022-11-15,0.0
2022-11-16,0.1011
2022-11-17,0.037860000000000005
2022-11-18,-0.10002
2022-11-20,0.0
2022-11-21,0.11363333333333335
2022-11-22,-0.053149999999999975
2022-11-23,0.22396666666666665
2022-11-25,0.105375
2022-11-26,-0.0129
2022-11-28,-0.23471999999999998
2022-11-29,-0.34675
2022-11-30,0.3797
2022-12-01,0.34626666666666667
2022-12-02,0.36824
2022-12-03,0.38409999999999994
2022-12-05,-0.08526666666666667
2022-12-06,-0.3207
2022-12-07,0.21109999999999998
2022-12-08,0.0007249999999999895
2022-12-09,-0.1113625
2022-12-10,0.0
2022-12-11,-0.05135
2022-12-12,-0.13999999999999999
2022-12-13,0.0
2022-12-14,-0.2936666666666667
2022-12-15,-0.008750000000000008
2022-12-16,0.10482
2022-12-17,0.3021
2022-12-18,0.2263
2022-12-19,0.1531
2022-12-20,0.08804000000000001
2022-12-21,0.58365
2022-12-22,0.27393999999999996
2022-12-23,0.119175
2022-12-24,-0.1909
2022-12-26,0.0
2022-12-27,0.15184999999999998
2022-12-28,-0.1531
2022-12-29,0.08395999999999999
2022-12-30,0.2202
2022-12-31,0.6369
2023-01-01,0.0
2023-01-03,-0.23640000000000003
2023-01-04,-0.08256666666666666
2023-01-05,-0.20658749999999998
2023-01-06,-0.18346666666666667
2023-01-07,-0.131675
2023-01-08,0.34
2023-01-09,-0.30041666666666667
2023-01-10,0.05717999999999999
2023-01-11,0.05575000000000001
2023-01-12,0.29972000000000004
2023-01-13,0.0258
2023-01-14,-0.296
2023-01-16,0.07138
2023-01-17,-0.10709999999999999
2023-01-18,-0.14133333333333334
2023-01-19,0.06239999999999998
2023-01-20,0.06465714285714286
2023-01-21,-0.1366
2023-01-22,0.1779
2023-01-23,-0.07314
2023-01-24,0.08283333333333333
2023-01-25,0.1973
2023-01-26,-0.02657499999999998
2023-01-27,0.31195
2023-01-28,0.22960000000000003
2023-01-29,0.34
2023-01-30,-0.20804
2023-01-31,0.4664
2023-02-01,-0.2890333333333333
2023-02-02,0.1424
2023-02-03,-0.1107
2023-02-04,0.23835
2023-02-05,0.0
2023-02-06,-0.13252000000000003
2023-02-07,-0.06665714285714286
2023-02-08,0.22545
2023-02-09,0.09630000000000001
2023-02-10,-0.044975
2023-02-11,-0.26495
2023-02-12,-0.0258
2023-02-13,-0.22555
2023-02-14,0.0
2023-02-15,-0.06411999999999998
2023-02-16,-0.037416666666666654
2023-02-17,-0.1782
2023-02-18,0.20863333333333334
2023-02-20,-0.1998
2023-02-21,-0.029179999999999984
2023-02-22,-0.02573333333333333
2023-02-23,-0.3275
2023-02-24,-0.3046
2023-02-27,0.09773999999999998
2023-02-28,-0.0014833333333333365
2023-03-01,0.008066666666666666
2023-03-02,0.0193
2023-03-03,0.23704999999999998
2023-03-04,0.0
2023-03-06,-0.2333333333333333
2023-03-07,-0.05125
2023-03-08,-0.1591
2023-03-09,0.03423333333333333
2023-03-10,0.11007142857142857
2023-03-11,-0.3182
2023-03-13,-0.12146666666666665
2023-03-14,-0.35455
2023-03-15,0.023211111111111096
2023-03-16,-0.2263666666666667
2023-03-17,0.168425
2023-03-18,0.120325
2023-03-20,-0.12815000000000001
2023-03-21,-0.010599999999999998
2023-03-22,0.25085
2023-03-23,0.19718
2023-03-24,0.10695714285714285
2023-03-25,0.125
2023-03-27,-0.3141
2023-03-28,0.04159999999999999
2023-03-29,-0.1462
2023-03-30,-0.022583333333333327
2023-03-31,0.26561428571428575
2023-04-01,0.7319
2023-04-02,0.0
2023-04-03,-0.012180000000000005
2023-04-04,-0.05704285714285714
2023-04-05,-0.2766
2023-04-06,0.17715
2023-04-07,-0.1909
2023-04-08,0.4139
2023-04-10,0.20212000000000002
2023-04-11,0.2121875
2023-04-12,0.11800000000000002
2023-04-13,0.09128571428571429
2023-04-14,0.1124181818181818
2023-04-17,-0.3286
2023-04-18,0.28565999999999997
2023-04-19,-0.14450000000000002
2023-04-20,0.159175
2023-04-21,0.10123750000000001
2023-04-22,-0.28044
2023-04-24,-0.22693333333333332
2023-04-25,-0.14772
2023-04-26,0.0
2023-04-27,0.07871666666666667
2023-04-28,0.1388111111111111
2023-04-29,0.13783333333333334
2023-05-01,0.1476888888888889
2023-05-02,0.16296
2023-05-03,0.03612
2023-05-04,-0.015528571428571423
2023-05-05,0.1308666666666667
2023-05-06,0.09867999999999999
2023-05-07,0.10116666666666667
2023-05-08,0.3333833333333333
2023-05-09,-0.0182
2023-05-10,-0.14265999999999998
2023-05-11,-0.009614285714285709
2023-05-12,-0.1535142857142857
2023-05-13,-0.30658
2023-05-15,-0.19227777777777777
2023-05-16,-0.09106666666666667
2023-05-17,-0.05634999999999999
2023-05-18,-0.07697142857142857
2023-05-19,-0.040319999999999995
2023-05-20,-0.36624999999999996
2023-05-22,-0.364325
2023-05-23,-0.07555
2023-05-24,0.28373333333333334
2023-05-25,0.041242857142857144
2023-05-26,0.11914444444444443
2023-05-27,0.058899999999999994
2023-05-29,0.0
2023-05-30,0.024500000000000004
2023-05-31,0.19494000000000003
2023-06-01,-0.14985
2023-06-02,0.26976
2023-06-03,-0.4096333333333333
2023-06-05,-0.22624
2023-06-06,0.28353333333333336
2023-06-07,-0.1338
2023-06-08,0.43335
2023-06-09,0.19966666666666666
2023-06-10,0.42196666666666666
2023-06-12,-0.10115
2023-06-13,-0.14245
2023-06-14,0.12655
2023-06-15,0.011040000000000005
2023-06-16,-0.1322375
2023-06-17,0.17844
2023-06-21,0.26025
2023-06-22,-0.2023
2023-06-23,-0.38354
2023-06-24,0.17435
