"o-teaser__tag","o-teaser__tag href","js-teaser-heading-link","js-teaser-heading-link href","o-labels","o-normalise-visually-hidden","js-teaser-standfirst-link","js-teaser-standfirst-link href","o-teaser__timestamp-date","o-teaser__image-container href","o-teaser__image src"
"Coronavirus economic impact","https://www.ft.com/stream/f1a6c14e-1fb0-4f7f-83a0-552276dc6cfb","Inflation fears return to centre stage","https://www.ft.com/content/e9ee8af3-a021-4836-ab9d-a9cd9168ec77","","","UK CPI rises to 3.2 per cent — its highest level since 2012","https://www.ft.com/content/e9ee8af3-a021-4836-ab9d-a9cd9168ec77","September 15, 2021","https://www.ft.com/content/e9ee8af3-a021-4836-ab9d-a9cd9168ec77","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ff31e7979-c226-4472-960f-01db86243599.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Inflation: a new era?","https://www.ft.com/content/b6dfb1dc-eb86-4bad-87b0-d800b79195d3","How the virus disrupted inflation statistics","https://www.ft.com/content/abad2b97-b40a-4e68-8834-6d7c17dcd404","","","Pandemic-driven changes in consumption patterns alter official pace of price growth","https://www.ft.com/content/abad2b97-b40a-4e68-8834-6d7c17dcd404","June 4, 2021","https://www.ft.com/content/abad2b97-b40a-4e68-8834-6d7c17dcd404","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F966615bf-c48c-415a-9dd4-afdee4f839d7.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone inflation","https://www.ft.com/stream/17cd6e19-a695-47d2-80b0-3e94bc02d5e6","Eurozone inflation dips from two-year high","https://www.ft.com/content/23f24ee8-217f-4e5f-a714-3689652f2435","","","Economists expect price growth to pick up in the coming months","https://www.ft.com/content/23f24ee8-217f-4e5f-a714-3689652f2435","June 30, 2021","https://www.ft.com/content/23f24ee8-217f-4e5f-a714-3689652f2435","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F102284f0-f191-4adf-aebd-e90e5650dca6.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Letter","https://www.ft.com/stream/6084af2f-16c3-4824-9500-176fa8fdb7b7","Letter: Dramatic jump in the money supply is the real cause of inflation","https://www.ft.com/content/091c288f-6d17-4f1a-a86e-5c35e1161b62","","","From Professor Tim Congdon, Chair, Institute of International Monetary Research, University of Buckingham, Buckingham, UK","https://www.ft.com/content/091c288f-6d17-4f1a-a86e-5c35e1161b62","May 17, 2022","https://www.ft.com/content/091c288f-6d17-4f1a-a86e-5c35e1161b62","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F95d8131e-e65d-420a-80a8-5e485576f314.jpg?source=next&fit=scale-down&dpr=2&width=240"
"UK inflation","https://www.ft.com/stream/77b28b2b-7a5c-4103-a86f-9af8ba039296","Bank of England says inflation likely to exceed 3% in coming months","https://www.ft.com/content/a2df9e5c-2dd4-4295-9938-890329c4e61f","","","UK central bank says prices are rising more quickly than it expected but trend is ‘transitory’","https://www.ft.com/content/a2df9e5c-2dd4-4295-9938-890329c4e61f","June 24, 2021","https://www.ft.com/content/a2df9e5c-2dd4-4295-9938-890329c4e61f","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fd2aa78a9-1d96-4cd1-a1ff-5620701dbd4b.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","How to defend against inflation?","https://www.ft.com/content/88ebab48-edc7-49f1-b535-8c546988d4fd","","","Man Group analysis shows it pays to own oil, gold and wine, and possibly also a bitcoin if and when inflation bites.","https://www.ft.com/content/88ebab48-edc7-49f1-b535-8c546988d4fd","May 25, 2021","https://www.ft.com/content/88ebab48-edc7-49f1-b535-8c546988d4fd","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F7733725f-ff7c-49a9-87c2-5c164460f7a4.jpg?source=next&fit=scale-down&dpr=2&width=240"
"","","UK inflation hits 9% in April on back of soaring gas and electricity prices","https://www.ft.com/content/c1f92cc3-871e-41f6-8ce3-0013e64c5536","","","UK inflation hit 9 per cent in April, its highest level in more than 40 years, after soaring gas and electricity bills intensified the cost of living ...","https://www.ft.com/content/c1f92cc3-871e-41f6-8ce3-0013e64c5536","","",""
"Pensions","https://www.ft.com/stream/9b610e96-53d2-44fe-af4f-a76716afb496","Inflation: managing the threat to your pension","https://www.ft.com/content/d4cbe654-5082-4778-aaf6-64f764676008","","","The divide deepens between defined benefit and defined contribution schemes","https://www.ft.com/content/d4cbe654-5082-4778-aaf6-64f764676008","May 13, 2022","https://www.ft.com/content/d4cbe654-5082-4778-aaf6-64f764676008","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Fb948b17e-23a5-493d-acca-0804e3f49f50.jpg?source=next&fit=scale-down&dpr=2&width=240"
"Eurozone inflation","https://www.ft.com/stream/17cd6e19-a695-47d2-80b0-3e94bc02d5e6","ECB changes inflation target, leaving extra room to keep rates low","https://www.ft.com/content/ab3b8c36-2199-4230-b9b3-b9e12c09d44b","","","First strategy review for nearly two decades amends key elements of monetary policy","https://www.ft.com/content/ab3b8c36-2199-4230-b9b3-b9e12c09d44b","July 8, 2021","https://www.ft.com/content/ab3b8c36-2199-4230-b9b3-b9e12c09d44b","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2F21534e46-a4ae-41b7-80b2-3e5cec6fc383.jpg?source=next&fit=scale-down&dpr=2&width=240"
"US inflation","https://www.ft.com/stream/7982616a-e179-45f1-86f6-948f1fc35523","Inflation and markets are tied","https://www.ft.com/content/759f2858-7a22-4157-91d3-f034a3600758","","","Plus more thoughts on housing","https://www.ft.com/content/759f2858-7a22-4157-91d3-f034a3600758","May 28, 2021","https://www.ft.com/content/759f2858-7a22-4157-91d3-f034a3600758","https://www.ft.com/__origami/service/image/v2/images/raw/https%3A%2F%2Fd1e00ek4ebabms.cloudfront.net%2Fproduction%2Ffaa15e70-5b81-4bea-b1ae-47282a40ee60.jpg?source=next&fit=scale-down&dpr=2&width=240"
