"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/cdxl15ppvzgo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/4122/live/bb38aaa0-7037-11ef-b02d-c5f3b724a1ea.jpg.webp","Six highlights from Harris-Trump debate","The 90-minute duel saw a volley of personal attacks as the rivals tussled over abortion and immigration.","US & Canada"
"https://www.bbc.com/news/articles/cn9lp9zrne4o","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9c00/live/58ecac20-69d9-11ef-8c74-07095a83ca6d.jpg.webp","Unison members reject latest council pay offer","The union is set to decide its next steps, which could include bin strikes.","Scotland Politics"
"https://www.bbc.com/news/articles/ce808nyry3do","15 hrs ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/4e3a/live/a12e30a0-7161-11ef-9516-9bafea49f39b.jpg.webp","Winter fuel cut impact was not assessed, says Starmer","Sir Keir Starmer says it was not legally necessary to carry out analysis on changes to the payment.","Politics"
"https://www.bbc.com/news/articles/cx2ljg73g2zo","23 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/df3d/live/7eff2c10-6143-11ef-b530-ab85493fe5fe.jpg.webp","Jersey earnings rise by average of 1.3% - report","Average earnings rise by 6.4% in the 12 months since June 2023 but increase in real terms is 1.3%.","Jersey"
"https://www.bbc.com/news/articles/czjy87xg03mo","4 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/baad/live/13d3fcf0-6a07-11ef-a7a9-a5dffdc3c315.jpg.webp","Fewer than 10 teacher vacancies as new term begins","The Minister for Education and Lifelong Learning says it is a ""pleasing number"".","Jersey"
"https://www.bbc.com/news/articles/cly8y27dwgpo","29 mins ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/a24f/live/91a64800-7154-11ef-b282-4535eb84fe4b.jpg.webp","Laura Loomer: Who is conspiracy theorist travelling with Trump?","She joined Trump at an event on Wednesday, and travelled to the presidential debate the day before on his plane.","US & Canada"
"https://www.bbc.com/news/articles/c4gv632d05lo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/f4a3/live/4dba5560-6d16-11ef-b43e-6916dcba5cbf.jpg.webp","How much is the winter fuel payment and how can I still claim it?","Plans to change winter fuel payments have highlighted the problem of unclaimed pensioner benefits.","Business"
"https://www.bbc.com/news/articles/cdx673p2ey9o","5 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/1636/live/ec740930-6c6c-11ef-8f7b-5519bba3a793.png.webp","Developer told it must build affordable homes","Taylor Wimpey will be required to rent or sell 32 homes at below market value.",""
"https://www.bbc.com/news/articles/cx2y1e4jpz3o","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/617d/live/42b53730-6a13-11ef-b970-9f202720b57a.jpg.webp","Scottish government confirms £500m in cuts","Finance Secretary Shona Robison says the government is facing almost £1bn in additional costs.","Scotland"
"https://www.bbc.com/news/articles/cdd7l7vr8l5o","3 Sep 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/21ed/live/84e8f540-69ed-11ef-8ae1-911441021d16.jpg.webp","Hundreds call for street lights to switch back on","An online petition expresses fears over the impact of part-night lighting on vulnerable residents.",""
"https://www.bbc.com/news/articles/crlrljjz884o","1 day ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/2233/live/fadab810-7113-11ef-8c1a-df523ba43a9a.jpg.webp","Why Starmer’s NHS reforms may give you a sense of deja-vu","The PM is promising major change, but this is not the first time such ideas have been tried","Health"
"https://www.bbc.com/news/articles/cly8y27dwgpo","29 mins ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/a24f/live/91a64800-7154-11ef-b282-4535eb84fe4b.jpg.webp","Laura Loomer: Who is conspiracy theorist travelling with Trump?","She joined Trump at an event on Wednesday, and travelled to the presidential debate the day before on his plane.","US & Canada"
"https://www.bbc.com/news/articles/c4gv632d05lo","3 days ago","https://ichef.bbci.co.uk/news/480/cpsprodpb/f4a3/live/4dba5560-6d16-11ef-b43e-6916dcba5cbf.jpg.webp","How much is the winter fuel payment and how can I still claim it?","Plans to change winter fuel payments have highlighted the problem of unclaimed pensioner benefits.","Business"
