Date,Close/Last,Open,High,Low
05/25/2022,1751.56,1714.07,1755.38,1714.07
05/24/2022,1714.07,1710.24,1720.28,1675.26
05/23/2022,1710.24,1663.63,1715.57,1663.63
05/20/2022,1663.63,1661.78,1697.21,1630.29
05/19/2022,1661.78,1661.01,1689.94,1630.04
05/18/2022,1661.01,1705.79,1717.14,1642.66
05/17/2022,1705.79,1691.61,1717.34,1691.61
05/16/2022,1691.61,1659.04,1707.73,1659.04
05/13/2022,1659.04,1600.05,1667.99,1600.05
05/12/2022,1600.05,1602.55,1604.68,1556.42
05/11/2022,1602.55,1583.97,1654.30,1583.97
05/10/2022,1583.97,1571.82,1628.99,1548.77
05/09/2022,1571.82,1711.63,1711.63,1564.75
05/06/2022,1711.63,1660.68,1711.93,1650.53
05/05/2022,1660.68,1686.04,1699.19,1625.92
05/04/2022,1686.04,1621.73,1688.92,1621.73
05/03/2022,1621.73,1566.74,1626.37,1566.74
05/02/2022,1566.74,1545.94,1567.20,1522.59
04/29/2022,1545.94,1581.72,1594.02,1540.37
04/28/2022,1581.72,1529.41,1593.09,1513.97
04/27/2022,1529.41,1507.74,1541.31,1483.62
04/26/2022,1507.74,1504.91,1541.99,1498.49
04/25/2022,1504.91,1554.52,1554.52,1453.16
04/22/2022,1554.52,1599.58,1608.17,1553.55
04/21/2022,1599.58,1653.17,1673.19,1593.95
04/20/2022,1653.17,1640.54,1659.96,1637.24
04/19/2022,1640.54,1654.88,1662.26,1633.24
04/18/2022,1654.88,1626.81,1661.24,1626.81
04/14/2022,1626.81,1627.66,1638.09,1618.18
04/13/2022,1627.66,1605.21,1631.37,1601.50
04/12/2022,1605.21,1579.63,1633.36,1579.63
04/11/2022,1579.63,1628.80,1628.80,1575.26
04/08/2022,1628.80,1589.13,1634.37,1589.13
04/07/2022,1589.13,1574.32,1593.83,1548.72
04/06/2022,1574.32,1570.26,1601.22,1565.42
04/05/2022,1570.26,1595.73,1618.84,1568.63
04/04/2022,1595.73,1589.96,1606.28,1580.49
04/01/2022,1589.96,1574.84,1600.67,1574.05
03/31/2022,1574.84,1596.05,1609.77,1574.84
03/30/2022,1596.05,1569.64,1605.61,1569.64
03/29/2022,1569.64,1574.53,1574.53,1522.52
03/28/2022,1574.53,1614.65,1614.65,1566.23
03/25/2022,1614.65,1581.14,1616.49,1572.39
03/24/2022,1581.14,1581.84,1595.17,1571.50
03/23/2022,1581.84,1546.75,1591.96,1546.75
03/22/2022,1546.75,1561.41,1561.41,1528.43
03/21/2022,1561.41,1499.23,1564.08,1499.23
03/18/2022,1499.23,1502.30,1508.44,1488.31
03/17/2022,1502.30,1446.72,1505.26,1446.72
03/16/2022,1446.72,1440.71,1460.92,1430.75
03/15/2022,1440.71,1480.28,1480.28,1409.28
03/14/2022,1480.28,1514.67,1514.67,1458.62
03/11/2022,1514.67,1531.85,1534.16,1507.37
03/10/2022,1531.85,1494.70,1536.39,1494.70
03/09/2022,1494.70,1536.40,1536.40,1469.07
03/08/2022,1536.40,1519.49,1584.99,1496.17
03/07/2022,1519.49,1520.32,1547.61,1487.87
03/04/2022,1520.32,1488.29,1520.49,1483.78
03/03/2022,1488.29,1501.73,1508.31,1478.30
03/02/2022,1501.73,1471.06,1512.64,1471.06
03/01/2022,1471.06,1464.37,1501.78,1453.47
02/28/2022,1464.37,1437.73,1465.44,1416.85
02/25/2022,1435.77,1403.76,1436.65,1403.76
02/24/2022,1403.86,1418.79,1439.42,1369.23
02/23/2022,1418.79,1409.92,1436.28,1409.92
