"sc-2e6baa30-0 href","sc-4e537b1-1","sc-814e9212-0 src","sc-4fedabc7-3","sc-ae29827d-0","sc-4e537b1-2"
"https://www.bbc.com/news/articles/c51yl79m0gzo","22 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/500c/live/1b8be500-605e-11ef-b970-9f202720b57a.jpg.webp","Who benefits from Lesotho’s ‘white gold’?","While Lesotho sells water to South Africa some near a huge dam have to use an unreliable spring.","Africa"
"https://www.bbc.com/news/articles/cr402kn0g1zo","15 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/e668/live/8187a9a0-5aca-11ef-997c-711b7066309d.jpg.webp","'Bumper pay deal' and sweet maker goes salty","The 15% pay deal offered to train drivers is leading a number of Thursday's front pages.","The Papers"
"https://www.bbc.com/news/articles/c6p224j24x0o","5 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/bc34/live/2b4151b0-5343-11ef-b094-c34fc6151465.jpg.webp","US stocks tumble on fears over slower growth","US stock markets follow Asia and Europe down, amid fears of a downturn in the American economy.","Business"
"https://www.bbc.com/news/articles/c628m5jl1zro","7 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/1894/live/236a6110-54b6-11ef-b39c-e325fe012747.jpg.webp","Former rail college could reopen with new tenant","Council says interest from education provider is 'really encouraging' ahead of lease negotiations.","South Yorkshire"
"https://www.bbc.com/news/articles/c3gvq44kq4ko","2 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/5aaa/live/699c7340-5019-11ef-bc93-d95b9dfc8305.png.webp","Rate cut 'great news' for Channel Island borrowers","A mortgage broker says the interest rate cut will ""have a significant impact on the housing market"".","UK"
"https://www.bbc.com/news/articles/cw0yvzwd8eeo","2 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/11ab/live/6ffe7e60-502b-11ef-a29e-db4deeb6efa1.jpg.webp","'I'm 25 and living with my parents. Rate cut may help'","The first fall in interest rates for four years is a boost for some but is not enough for others.","Business"
"https://www.bbc.com/news/articles/c7202xvpwn5o","2 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/3221/live/9b7eade0-50e8-11ef-bf26-6d9f6165d706.jpg.webp","Stock markets plunge as weak US jobs fuel fears","Worse-than-expected employment data adds to concerns that the US is facing a slowdown.","Business"
"https://www.bbc.com/news/articles/cr5nn6le10eo","6 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/c075/live/44f0f640-5331-11ef-b68c-fffc4c1fcaa7.jpg.webp","Aberdeen Union Street occupancy improves to pre-Covid level","Union Street vacancies are said to have recovered back to where they were in February 2020.","NE, Orkney & Shetland"
"https://www.bbc.com/news/articles/cz47x527v12o","1 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/6878/live/b3348050-4ffc-11ef-9233-431e413bf6b2.jpg.webp","Interest rates cut... but don't expect more straight away","Rates have been cut, but the message from the Bank of England is not to expect more reductions immediately.","Business"
"https://www.bbc.com/news/articles/c2e404mdj1yo","2 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/249c/live/f55b4c00-5058-11ef-aebc-6de4d31bf5cd.jpg.webp","Southport suspect 'unmasked' and Starmer 'takes on far right'","Friday's front pages continue to be dominated by the Southport knife attacks.","The Papers"
"https://www.bbc.com/news/articles/cx72dpxy25do","2 Aug 2024","https://ichef.bbci.co.uk/news/480/cpsprodpb/9a49/live/5e328410-501c-11ef-8f0f-0577398c3339.jpg.webp","'Important moment' as interest rates cut to 5%","The Bank of England cuts borrowing costs from 5.25% to 5% in the first drop for more than four years.","Business"
